Country,Year,Happiness_Score,GDP_per_Capita,Social_Support,Healthy_Life_Expectancy,Freedom,Generosity,Corruption_Perception,Unemployment_Rate,Education_Index,Population,Urbanization_Rate,Life_Satisfaction,Public_Trust,Mental_Health_Index,Income_Inequality,Public_Health_Expenditure,Climate_Index,Work_Life_Balance,Internet_Access,Crime_Rate,Political_Stability,Employment_Rate
China,2020,6.35,20507.34,0.61,55.61,0.33,0.07,0.2,3.8,0.61,1140228586,39.22,7.82,0.59,83.87,34.54,3.51,30.1,6.11,78.71,15.41,0.73,78.25
Australia,2013,7.44,6328.8,0.24,81.31,0.7,0.45,0.45,13.1,0.78,649620998,33.72,7.73,0.41,83.52,50.63,2.3,95.61,7.37,47.44,45.64,0.6,71.34
China,2005,5.3,34196.59,0.87,60.25,0.92,-0.04,0.64,8.12,0.57,599790454,45.08,5.73,0.05,90.92,53.57,4.36,48.72,5.63,61.01,30.26,0.74,93.62
USA,2020,6.03,29263.4,0.33,75.59,0.01,0.02,0.21,16.48,0.84,15552224,46.27,6.44,0.02,63.95,25.95,8.36,76.41,8.9,81.58,33.71,0.59,57.04
USA,2013,3.94,7168.71,0.33,77.3,0.87,0.32,0.93,12.62,0.59,573136896,59.92,7.32,0.05,85.57,26.72,9.51,96.04,6.36,76.56,18.0,0.98,73.51
Australia,2023,7.02,37136.88,0.6,83.71,0.22,0.31,0.64,8.99,0.52,1309650353,56.32,5.72,0.96,43.52,36.85,6.58,87.28,7.52,48.56,42.11,0.49,59.21
Australia,2016,7.84,44539.23,0.18,67.45,0.46,0.44,0.88,19.71,0.91,345426262,58.42,7.15,0.32,43.39,32.81,2.73,38.58,3.56,43.44,56.86,0.01,54.01
UK,2023,4.34,46269.42,0.28,71.55,0.85,0.07,0.33,3.19,0.66,706057570,66.96,5.26,0.7,59.91,52.78,6.02,86.13,5.78,77.49,63.17,0.16,71.23
Australia,2013,5.47,54417.02,0.42,61.72,0.82,0.16,0.83,12.4,0.55,909918642,43.86,5.46,0.59,51.81,59.87,9.99,80.85,3.39,73.5,58.68,0.96,95.47
Germany,2011,3.43,25158.77,0.35,73.74,0.89,0.13,0.38,19.81,0.92,188363625,38.08,5.55,0.57,71.11,27.24,9.51,53.06,3.73,43.26,56.24,0.47,84.66
China,2018,5.8,57231.29,0.52,66.22,0.94,0.45,0.25,14.44,0.88,1192330483,82.73,8.68,0.58,50.99,50.5,9.95,78.27,6.04,93.61,70.85,0.12,61.26
India,2023,5.51,52060.33,0.6,65.32,0.45,0.34,0.91,15.32,0.84,535888895,68.04,8.17,0.3,98.53,44.29,7.6,87.81,5.11,53.88,33.27,0.16,72.21
Brazil,2023,3.72,18493.59,0.57,79.94,0.66,0.38,0.09,2.58,0.96,207298055,33.64,6.83,0.89,91.07,45.78,5.41,50.4,5.76,61.23,25.02,0.03,88.28
Australia,2006,5.21,10397.7,0.65,51.76,0.39,-0.11,0.94,2.38,0.74,1386012403,87.66,6.82,0.92,98.95,30.58,9.15,90.83,5.98,49.77,16.26,0.23,59.38
France,2013,4.67,26687.97,0.31,80.87,0.35,0.35,0.46,2.65,0.56,1355219926,71.58,4.28,0.64,88.47,23.89,9.16,35.52,3.96,85.57,21.6,0.99,59.78
USA,2017,5.61,24712.02,0.13,79.82,0.43,0.1,0.99,19.85,0.53,27284863,39.1,7.25,0.86,97.07,41.73,3.15,66.92,5.19,92.94,20.46,0.33,58.69
Germany,2019,5.93,34967.44,0.76,67.72,0.74,-0.18,0.54,19.63,0.66,539606794,88.15,5.64,0.06,62.09,44.54,8.2,46.33,8.16,51.73,73.87,0.25,79.16
South Africa,2007,3.04,35419.79,0.85,67.16,0.5,-0.16,0.76,8.02,0.54,1448130756,51.92,7.06,0.1,69.87,58.52,9.35,80.96,8.14,55.57,22.64,0.67,51.39
Brazil,2015,6.81,45249.23,0.26,62.66,0.81,0.27,0.01,7.24,0.77,997218092,89.07,8.2,0.56,54.39,47.01,9.19,42.24,5.94,78.86,16.58,0.67,78.21
India,2018,6.57,31083.51,0.41,84.8,0.75,0.06,0.5,4.63,0.51,38062623,36.2,4.23,0.85,78.15,37.75,7.65,53.9,7.49,69.03,38.02,0.97,89.62
Brazil,2012,4.83,7184.54,0.5,53.89,0.02,0.41,0.74,7.92,0.72,474024728,39.6,7.04,0.32,87.29,59.76,6.3,38.92,7.52,45.78,21.87,0.73,87.57
Australia,2022,3.26,51639.19,0.53,70.66,0.63,0.31,0.78,8.66,0.59,65982427,69.45,6.82,0.55,69.92,34.93,8.21,86.83,3.26,91.07,19.14,0.11,82.01
UK,2023,6.77,19276.11,0.66,73.86,0.44,-0.18,0.16,15.47,0.68,985967295,31.33,5.03,0.01,57.78,26.5,6.13,39.26,6.67,73.61,35.37,0.99,60.54
USA,2020,7.78,58306.55,0.04,82.7,0.46,0.28,0.42,17.59,0.84,615635550,31.12,7.23,0.99,70.46,44.72,4.57,80.62,7.83,56.57,74.36,0.75,89.19
USA,2006,4.2,7953.75,0.72,77.31,0.82,-0.07,0.42,15.44,0.68,1172806235,77.52,6.77,0.77,43.77,30.65,4.07,79.51,6.56,66.94,12.13,0.26,95.96
South Africa,2012,4.62,57536.82,0.06,72.53,0.55,0.1,0.1,13.64,0.67,697135033,40.07,7.84,0.36,83.27,56.89,6.33,39.97,6.25,67.51,24.54,0.26,58.82
UK,2010,3.92,6369.7,0.47,54.09,0.89,0.24,0.44,15.79,1.0,1347975093,85.13,4.55,0.98,67.1,37.11,5.65,69.62,6.19,68.9,67.7,0.96,93.7
China,2016,5.88,14631.13,0.83,63.08,0.71,0.41,0.81,15.29,0.86,1327938153,55.55,6.22,0.09,93.89,25.98,6.2,64.78,6.05,67.35,27.17,0.19,90.94
Canada,2019,3.77,3748.22,0.45,54.86,0.55,0.12,0.3,10.56,0.76,275772950,82.42,8.99,0.46,95.4,25.67,4.09,71.62,7.67,70.9,40.88,0.23,97.01
Germany,2012,4.78,42601.68,0.15,80.84,0.75,0.37,0.43,8.05,0.79,1139060062,55.07,7.45,0.06,47.53,45.99,6.72,95.61,6.85,61.63,16.9,0.36,65.33
USA,2008,6.49,51167.63,0.99,76.24,0.04,0.35,0.96,7.09,0.81,103178185,61.81,7.42,0.33,99.77,34.64,7.3,35.64,4.29,48.04,65.66,0.68,94.84
France,2019,5.8,26610.19,0.89,76.51,0.03,0.09,0.03,14.23,0.51,1240903872,48.99,5.59,0.22,98.19,34.55,8.45,87.44,5.6,76.55,61.55,0.43,58.62
USA,2024,4.93,55782.8,0.77,72.83,0.08,0.15,0.59,19.27,0.54,338593964,69.48,4.47,0.32,77.63,44.49,6.72,90.35,6.17,83.59,18.96,0.31,58.41
Brazil,2021,5.1,35827.65,0.41,67.75,0.44,0.29,0.74,12.46,0.82,1046529708,49.09,8.75,0.95,89.53,28.86,8.05,38.84,5.51,86.26,76.36,0.27,55.14
USA,2017,5.81,38170.42,0.18,55.25,0.24,-0.18,0.76,18.43,0.68,824570944,43.39,4.53,0.43,41.11,25.82,3.36,75.93,4.43,41.21,51.34,0.13,70.53
USA,2022,3.03,50879.73,0.94,61.54,0.98,0.42,0.72,2.26,0.53,47604122,34.86,8.96,0.32,98.22,46.29,2.97,79.15,3.75,62.25,65.87,0.55,50.58
Canada,2006,3.39,18511.21,0.53,54.79,0.54,0.34,0.73,16.3,0.65,1183869485,33.46,4.63,0.64,67.38,20.21,3.44,68.41,3.7,93.81,63.47,0.27,68.3
Canada,2017,7.41,21901.68,0.85,75.37,0.66,-0.03,0.06,17.36,0.57,1164278055,48.36,4.85,0.68,94.58,56.29,8.77,65.21,4.78,43.44,46.34,0.33,80.04
India,2017,3.39,54451.16,0.34,55.61,0.28,0.49,0.53,13.36,0.96,467139577,74.19,5.54,0.98,63.11,27.32,6.45,52.25,5.42,83.21,62.32,0.01,53.76
China,2019,6.53,54156.85,0.34,74.57,0.32,-0.07,0.78,18.81,0.6,1205566069,42.34,6.56,0.55,87.29,37.91,5.64,78.24,7.1,46.94,26.65,0.53,89.29
France,2024,7.6,58612.48,0.99,74.23,0.34,0.44,0.09,12.62,0.57,1190700957,47.95,7.95,0.75,65.08,28.46,8.1,49.99,8.91,85.36,11.49,0.7,64.05
USA,2014,4.35,54208.46,0.52,66.08,0.7,0.03,0.01,6.33,0.81,224259163,84.31,8.86,0.38,61.76,28.73,2.99,62.2,8.38,76.97,33.95,0.93,52.23
USA,2007,4.85,8514.95,0.14,54.73,0.47,0.33,0.81,5.88,0.76,828969583,68.35,5.79,0.17,96.81,53.4,2.05,90.02,7.88,79.88,20.68,0.2,67.98
Germany,2023,5.84,49599.73,0.22,61.02,0.52,0.12,0.71,12.01,0.79,681901067,85.18,4.1,0.43,81.95,43.4,4.49,36.27,7.88,93.75,78.68,0.92,56.64
Canada,2007,7.41,25180.47,0.48,61.2,0.59,0.32,0.41,18.32,0.72,1065423996,84.67,7.08,0.42,90.4,32.46,3.99,66.99,6.58,91.67,74.65,0.36,88.17
France,2018,7.71,59457.28,0.04,74.51,0.77,-0.09,0.94,3.3,0.73,875862559,33.8,7.55,0.42,72.6,30.04,4.46,64.03,4.52,56.74,20.09,0.8,66.03
South Africa,2012,6.7,28864.58,0.46,53.98,0.09,-0.01,0.77,12.88,0.89,1008397988,87.3,5.99,0.7,95.1,28.51,9.79,56.49,5.83,60.64,34.08,0.9,55.62
India,2008,3.43,33676.33,0.42,79.02,0.78,-0.13,0.97,15.86,0.61,115359092,33.07,4.92,0.41,84.4,42.18,6.54,71.83,3.86,62.39,45.65,0.96,71.78
China,2024,6.35,32256.72,0.78,76.64,0.56,0.41,0.93,4.08,0.7,1187069847,85.54,5.53,0.95,44.33,49.23,6.71,31.09,6.4,49.93,37.91,0.33,71.69
UK,2015,5.05,19982.48,0.35,56.52,0.67,0.01,0.48,4.1,0.98,397576351,62.8,7.28,0.98,86.01,30.14,7.25,64.47,3.14,60.96,59.0,0.26,63.23
China,2015,5.35,5426.3,0.98,75.17,0.33,0.29,0.75,8.59,0.59,1346603345,61.99,6.47,0.52,41.12,33.29,5.18,64.0,4.14,93.85,45.25,0.44,65.7
Brazil,2015,3.25,53843.42,0.18,73.4,0.41,0.37,0.67,6.93,0.65,437068618,72.8,7.72,0.56,89.74,48.81,9.83,66.13,7.27,66.93,49.57,0.55,86.9
USA,2006,3.96,48357.87,0.59,76.18,0.23,0.43,0.81,5.57,0.6,1413729703,82.75,5.09,0.41,59.91,49.49,9.79,44.87,4.66,92.39,57.43,0.69,80.66
India,2021,6.95,9232.08,0.09,56.61,0.98,-0.13,0.79,5.58,0.51,620563961,67.02,8.21,0.36,75.9,28.29,8.15,44.53,5.52,43.93,11.66,0.69,60.3
Brazil,2013,5.27,46829.33,0.73,55.52,0.5,0.43,0.15,4.35,0.63,856076488,55.52,4.78,0.99,84.96,35.29,3.69,75.3,7.99,42.16,10.87,0.12,95.51
France,2006,4.51,37924.95,0.99,58.28,1.0,-0.06,0.23,13.0,0.52,861172505,36.71,5.65,0.04,78.22,54.8,9.04,36.49,3.27,71.64,22.47,0.61,64.63
UK,2019,4.92,25139.48,0.82,62.81,0.49,0.32,0.27,14.39,0.58,1168267785,77.35,6.96,0.41,80.34,49.61,2.81,51.41,3.14,80.49,60.28,0.17,75.61
Canada,2020,7.27,15987.25,0.56,77.78,0.22,0.31,0.82,14.65,0.68,840866854,37.7,7.68,0.15,93.56,26.5,7.04,88.16,4.37,51.96,26.83,0.71,77.41
India,2008,6.74,51724.0,0.48,75.83,0.51,-0.19,0.81,11.58,0.51,613211538,73.58,5.33,0.73,62.44,35.44,5.66,37.26,7.11,67.68,74.41,0.98,60.26
India,2012,4.36,42311.11,0.84,82.39,0.04,-0.05,0.5,19.15,0.88,1454082165,61.68,8.74,0.19,72.83,58.93,2.31,62.76,4.42,88.01,15.49,0.77,63.98
USA,2013,3.59,33316.65,0.94,52.05,0.9,0.14,0.58,17.85,0.9,52715996,53.15,7.53,0.88,50.5,41.02,9.23,76.8,8.18,81.89,50.59,0.69,73.07
Australia,2009,4.26,36964.54,0.99,50.4,0.82,0.09,0.83,19.24,0.71,143419072,66.78,5.09,0.37,68.05,48.77,9.69,39.92,5.11,52.75,11.79,0.08,62.3
India,2020,7.6,6372.9,0.4,74.47,0.73,0.44,0.31,9.0,0.99,1093412324,76.34,7.63,0.92,49.0,23.68,9.26,51.87,4.7,58.4,78.04,0.18,64.67
Germany,2017,5.91,28961.27,0.99,59.78,0.61,0.05,0.05,17.8,0.84,551409563,86.47,7.48,0.99,78.02,53.3,3.54,69.11,4.4,56.82,24.96,0.36,79.43
UK,2011,5.67,12428.32,0.16,61.69,0.58,0.46,0.48,15.73,0.87,1258723147,45.88,7.76,0.77,59.46,44.19,4.66,52.91,6.44,79.57,51.13,0.93,85.22
UK,2024,5.98,13294.64,0.25,69.14,1.0,0.12,0.91,8.12,0.6,460409940,86.83,8.58,0.62,91.54,27.02,9.65,37.7,8.14,93.25,76.71,0.33,88.45
Germany,2021,4.83,40016.93,0.09,53.58,0.28,0.48,0.79,3.92,0.92,467539174,87.66,7.56,0.15,60.61,35.21,2.85,46.27,5.44,55.4,12.13,0.81,55.84
South Africa,2007,7.04,54764.11,0.27,72.49,0.78,0.32,0.37,14.29,0.97,343242579,78.82,5.76,0.93,57.21,23.32,6.67,37.66,4.52,72.36,45.89,0.1,85.38
Germany,2009,5.62,24821.64,0.77,61.38,0.58,0.38,0.06,4.46,0.62,669769236,82.89,7.95,0.78,69.48,51.08,5.88,98.85,5.53,94.37,46.87,0.66,94.95
Germany,2023,3.58,13257.21,0.85,72.15,0.98,-0.13,0.64,7.29,0.84,556541907,71.55,7.48,0.29,50.52,49.8,3.22,46.5,8.43,48.67,34.6,0.78,77.88
UK,2016,3.65,39276.07,0.78,79.19,0.83,0.21,0.83,11.01,0.87,1386143309,32.35,6.87,0.47,52.23,39.61,9.09,67.14,5.01,76.25,55.82,0.54,79.02
China,2011,5.68,52400.04,0.63,55.99,1.0,-0.1,0.66,14.24,0.65,410865391,64.5,5.77,0.07,86.99,38.08,3.07,60.0,6.93,58.26,47.98,0.77,95.86
UK,2013,7.68,45150.81,0.51,82.58,0.59,0.01,0.43,18.67,0.74,872011976,74.83,8.61,0.66,69.83,38.54,6.74,69.87,4.98,94.54,27.44,0.72,91.73
Australia,2010,4.54,52256.68,0.71,68.57,0.2,0.24,0.12,12.68,0.55,328482721,86.5,6.56,0.13,52.38,21.5,4.55,64.87,7.05,45.98,59.37,0.48,76.77
USA,2021,7.35,32656.73,0.39,82.3,0.5,0.31,0.91,14.09,0.59,21940973,64.23,7.14,0.65,41.89,34.73,5.34,80.9,8.29,64.82,42.63,0.87,86.76
Brazil,2020,6.82,45360.7,0.84,57.27,0.71,-0.17,0.28,7.58,0.53,954731661,77.65,6.08,0.67,67.99,25.14,3.69,91.11,6.59,54.02,42.92,0.34,58.68
China,2007,4.24,9263.81,0.68,71.16,0.77,0.17,0.22,14.37,0.78,77310862,72.3,7.9,0.32,84.56,27.39,7.0,49.97,8.68,41.74,76.63,0.43,69.83
Canada,2008,3.18,21548.2,0.7,64.14,0.0,0.2,0.82,9.88,0.81,547524894,46.85,5.71,0.95,61.07,58.48,9.91,42.85,6.61,93.0,47.45,0.54,84.34
Brazil,2014,3.51,23983.4,0.54,77.1,0.51,-0.14,0.98,17.42,0.96,298572863,39.28,8.05,0.78,54.88,30.47,8.67,98.9,8.85,71.25,64.93,0.13,63.85
USA,2009,6.64,31166.45,0.89,71.21,0.24,0.15,0.66,9.06,0.77,201353067,75.05,4.54,0.5,63.78,39.34,7.47,90.63,7.34,78.54,70.72,0.52,71.79
Australia,2014,4.0,55815.51,0.25,67.31,0.87,0.3,0.62,10.43,0.63,524964661,44.03,7.54,0.92,97.55,55.51,8.05,55.47,6.92,74.12,50.65,0.32,58.29
Australia,2016,4.86,52583.5,0.38,81.95,0.15,-0.16,0.32,9.79,0.53,1272630927,44.68,6.38,0.86,65.39,36.54,8.71,92.64,7.98,48.17,65.05,0.26,93.09
Canada,2014,5.51,8937.0,0.78,63.2,0.67,0.33,0.02,16.6,0.94,619724060,68.64,7.49,0.69,55.58,41.14,5.78,76.94,3.07,49.38,31.67,0.58,92.99
China,2017,6.63,11194.59,0.49,57.7,0.27,0.2,0.19,19.17,0.74,1113382332,77.34,6.66,0.15,74.15,26.75,6.54,60.62,4.54,74.45,22.73,0.33,72.96
South Africa,2015,3.57,22100.79,0.89,71.28,0.36,0.38,0.58,7.89,0.87,981155566,64.94,4.67,0.5,88.64,31.4,9.16,91.14,4.3,82.89,58.69,0.86,59.22
Germany,2020,5.03,18153.89,0.35,71.84,0.94,-0.05,0.15,10.55,0.51,926128263,83.1,6.38,0.86,41.34,40.24,7.57,77.27,3.67,73.61,74.83,0.41,82.6
China,2012,5.43,37271.49,0.37,65.37,0.24,0.38,0.88,14.71,0.74,927881059,42.69,8.82,0.61,73.49,34.6,3.09,87.85,8.63,71.37,12.97,0.41,60.25
South Africa,2012,5.7,54263.79,0.89,67.03,0.1,-0.13,0.19,18.12,0.66,1333618450,45.14,7.77,0.55,90.18,21.53,8.24,59.24,3.79,81.03,63.41,0.98,60.97
Australia,2012,7.09,57775.2,0.46,83.58,0.07,0.08,0.52,10.89,0.52,94546233,68.22,5.5,0.96,52.94,36.03,2.18,85.91,4.58,53.4,11.99,0.34,96.66
UK,2017,3.86,39562.57,0.52,75.64,0.5,-0.06,0.51,3.96,0.89,485189661,79.76,8.72,0.02,95.3,52.6,8.78,55.68,5.01,80.24,42.1,0.13,54.78
USA,2006,7.04,50451.39,0.33,53.87,0.64,0.41,0.6,8.64,0.76,445255447,62.36,7.89,0.01,74.66,24.64,8.31,81.46,6.75,62.62,57.4,0.88,68.2
Canada,2016,6.46,31986.93,0.28,57.42,0.33,0.29,0.33,11.91,0.67,1493871316,30.62,5.82,0.89,71.0,20.75,8.65,60.49,7.6,77.07,38.37,0.92,76.63
USA,2014,5.78,13291.29,0.66,84.15,0.69,-0.18,0.87,9.52,0.9,721373242,70.62,7.02,0.04,97.82,24.75,2.19,58.36,6.63,55.11,31.07,0.23,55.17
France,2016,6.5,31956.62,0.12,75.43,0.06,-0.19,0.44,5.36,0.72,871328042,78.81,6.13,0.33,47.78,47.47,9.78,85.76,7.49,47.56,23.08,0.88,51.87
France,2015,5.06,33749.87,0.88,82.03,0.86,0.0,0.7,2.67,0.5,221396493,46.59,4.48,0.92,84.41,51.79,6.91,38.75,5.41,41.6,78.45,0.49,76.03
China,2019,3.69,44805.0,0.78,60.64,0.82,-0.1,0.64,14.37,0.97,738929546,33.25,8.03,0.69,89.11,21.95,8.4,94.97,8.97,84.19,49.92,0.04,55.5
Australia,2020,6.33,13973.1,0.19,75.97,0.99,0.24,0.12,19.87,0.63,561997497,61.08,4.96,0.65,69.31,55.5,6.53,65.61,4.02,50.83,18.95,0.55,62.06
Australia,2021,5.62,22730.31,0.69,74.99,0.94,0.26,0.62,18.55,0.92,1081609837,32.53,6.29,0.66,40.39,45.09,4.72,74.53,5.4,59.99,13.37,0.85,73.87
Germany,2006,6.2,22477.62,0.6,60.31,0.36,0.46,0.55,14.3,0.91,967609632,54.96,7.51,0.32,71.46,40.73,4.37,58.37,7.99,82.29,27.04,0.4,66.68
Germany,2022,4.69,57606.94,0.18,69.28,0.4,0.47,0.9,17.15,0.58,1109700983,31.07,8.66,0.53,49.21,30.14,2.56,75.21,4.48,64.76,47.7,0.55,84.11
Germany,2016,7.53,27192.75,0.27,71.96,0.75,0.26,0.88,6.6,0.74,758570256,43.5,4.31,0.63,73.75,34.87,6.34,79.69,7.51,51.97,62.64,0.14,96.2
UK,2023,5.94,45550.54,0.41,66.84,0.13,-0.2,0.15,13.2,0.52,793609635,53.33,5.97,0.31,84.32,57.88,3.15,90.79,5.19,50.71,78.67,0.84,86.15
Brazil,2022,3.43,45297.87,0.7,78.95,0.31,0.05,0.08,3.09,0.68,1068311413,36.7,7.07,0.8,71.86,56.46,6.54,89.81,4.07,62.44,68.38,0.11,98.0
India,2021,5.25,16667.11,0.64,79.15,0.12,0.16,0.29,14.73,0.87,912595230,36.85,7.9,0.32,77.85,45.02,7.0,55.05,5.42,71.08,52.84,0.09,68.67
Brazil,2010,6.78,34740.31,0.53,79.77,0.45,0.15,0.99,19.46,0.62,350439309,79.62,8.6,0.07,46.24,43.16,5.54,73.11,7.71,61.58,56.65,0.93,64.65
USA,2019,6.97,53763.87,0.77,78.12,0.55,0.22,0.02,17.49,0.56,1404804800,32.49,4.0,0.2,45.82,28.42,3.25,84.64,3.67,89.75,46.54,0.87,60.2
Brazil,2007,5.47,29036.67,0.76,67.08,0.21,0.47,0.67,11.62,0.75,1148946529,71.34,7.14,0.41,91.06,58.13,5.46,83.54,6.1,40.21,40.42,0.57,92.47
UK,2010,7.47,56761.93,0.62,63.35,0.03,0.42,0.61,16.2,0.77,686989336,78.87,4.03,0.91,42.96,50.22,9.03,92.37,7.45,62.11,64.93,0.11,68.72
USA,2007,4.34,13653.04,0.79,79.1,0.72,-0.12,0.65,18.99,0.84,478812555,37.84,7.94,0.42,57.06,35.29,5.66,88.24,7.51,80.86,22.41,0.55,84.13
Brazil,2005,5.05,5375.39,0.33,67.16,0.02,-0.01,0.22,5.89,0.88,1241251619,41.72,4.75,0.09,96.26,52.63,4.74,80.25,5.34,89.0,33.38,0.92,82.39
UK,2017,7.49,53595.78,0.88,58.62,0.97,0.38,0.23,16.28,0.85,1419223030,68.49,8.47,0.2,67.53,28.47,7.04,82.42,5.8,59.71,78.51,0.61,52.74
India,2018,7.48,51013.19,0.61,67.76,0.22,0.38,0.43,6.86,0.92,208857042,48.94,4.78,0.54,80.47,28.53,6.95,86.52,8.14,77.05,50.02,0.2,92.22
Brazil,2017,6.43,59562.8,0.82,54.96,0.66,-0.01,0.1,17.79,0.61,1087967162,58.59,7.82,0.18,53.3,51.64,2.72,88.65,4.25,71.92,44.9,0.91,73.35
UK,2008,7.29,41084.22,0.55,74.21,0.43,0.31,0.07,3.77,0.78,867030080,80.16,5.45,0.06,56.23,42.37,3.89,54.69,8.96,51.08,69.56,0.87,60.73
Germany,2011,3.44,56264.59,0.22,61.76,0.06,0.27,0.09,5.21,0.68,274451456,38.28,6.79,0.71,70.54,42.23,5.96,84.73,5.52,77.45,63.34,0.55,97.0
Australia,2014,7.32,49789.99,0.54,59.12,0.47,0.13,0.57,14.97,0.98,1262267784,67.18,7.04,0.78,78.29,42.95,4.93,96.44,4.65,53.73,32.82,0.85,86.15
Germany,2011,4.6,50821.15,0.37,83.48,0.52,-0.06,0.4,5.15,0.72,1484872044,86.54,5.03,0.85,97.63,25.03,4.56,46.31,3.02,83.11,53.82,0.06,79.6
Australia,2019,3.89,34579.35,0.7,77.19,0.85,0.42,0.29,4.84,0.98,738132458,33.45,5.49,0.84,74.47,33.98,5.57,33.38,3.75,87.62,22.98,0.46,97.44
Canada,2019,4.2,23559.51,0.48,77.55,0.73,0.27,0.32,12.0,0.88,1333013618,33.6,4.54,0.38,45.76,42.92,4.32,35.07,7.54,66.31,13.71,0.18,86.32
Canada,2008,5.09,56138.93,0.84,71.83,0.08,-0.08,0.21,17.03,0.86,1327238932,63.28,4.03,0.73,62.02,29.9,4.78,45.17,6.9,42.98,79.29,0.84,55.81
Canada,2010,4.26,26494.91,0.68,79.37,0.21,0.29,0.41,6.83,0.75,1012055103,87.6,5.2,0.58,54.65,40.16,8.19,94.39,4.48,80.55,61.6,0.97,97.58
India,2024,4.6,32790.34,0.68,76.57,0.31,0.32,0.2,17.14,0.72,1156430818,43.23,6.58,0.02,55.26,42.28,6.08,38.88,8.56,65.7,75.15,0.93,78.68
Germany,2009,3.67,27320.74,0.22,70.96,0.12,0.42,0.7,16.54,0.76,598826643,49.85,7.57,0.4,70.32,57.71,8.98,82.33,8.01,45.2,68.23,0.5,64.37
Australia,2024,4.48,34324.28,0.98,83.64,0.46,-0.04,0.12,12.42,0.65,101211628,35.92,7.97,0.05,59.0,29.83,9.59,90.69,4.62,58.21,39.97,0.51,89.24
UK,2016,5.86,28759.8,0.84,56.71,0.98,0.49,0.95,13.64,0.95,1171868347,51.73,4.35,0.08,57.36,37.57,9.38,91.43,4.98,55.99,70.3,0.91,52.3
USA,2005,5.21,3830.09,0.79,83.02,0.51,-0.09,0.09,2.73,0.9,706938357,32.66,5.36,0.06,98.08,59.26,4.03,59.17,4.11,79.95,65.07,0.72,81.41
UK,2012,4.73,53040.84,0.33,64.05,0.74,0.22,0.94,8.61,0.9,802822872,53.35,7.85,0.96,75.04,27.47,5.78,64.67,6.86,63.32,28.08,0.07,57.65
USA,2005,6.73,27219.24,0.54,68.49,0.68,0.26,0.83,6.74,0.72,634736574,63.33,6.4,0.84,55.71,51.2,6.28,52.63,7.21,72.29,53.61,0.13,54.2
France,2009,7.47,35747.68,0.14,54.3,0.85,0.09,0.68,4.7,0.54,963805524,88.5,4.91,0.44,56.55,27.09,8.82,40.31,5.38,67.56,31.35,0.95,66.99
UK,2010,6.78,9212.08,0.54,68.9,0.22,0.13,0.91,9.01,0.84,219975454,79.1,5.96,0.25,88.66,54.0,6.47,44.85,7.42,79.83,26.38,0.37,67.11
Brazil,2007,4.66,1199.88,0.15,71.39,0.75,0.42,0.14,8.39,0.69,1022823799,79.32,5.35,0.07,93.19,39.52,4.02,39.43,8.95,79.49,15.72,0.19,78.83
Brazil,2019,6.72,15472.12,0.55,84.92,0.88,0.25,0.18,15.12,0.94,144483263,43.69,4.25,0.43,80.74,58.89,6.38,58.53,6.67,64.68,48.02,0.74,77.14
China,2009,3.76,42570.58,0.65,84.13,0.17,0.15,0.25,12.77,0.89,154571048,35.23,7.82,0.6,65.89,26.8,2.35,41.92,6.9,47.43,37.47,0.88,83.02
Germany,2018,3.65,6852.48,0.39,83.82,0.35,-0.11,0.24,18.44,0.57,703283570,66.18,5.46,0.8,85.87,47.52,8.67,58.24,5.24,62.43,16.16,0.21,58.36
USA,2022,4.73,54624.36,0.5,62.19,0.97,-0.19,0.31,4.62,0.8,1303736080,61.27,8.73,0.05,96.24,47.81,6.53,89.58,3.06,48.81,60.28,0.25,91.8
USA,2020,7.04,13686.33,0.88,84.69,0.78,-0.11,0.58,3.08,0.85,1309166285,60.99,8.44,0.42,49.97,48.76,7.21,75.82,8.72,92.75,60.61,0.9,91.22
Germany,2010,4.23,13071.02,0.11,65.94,0.28,0.47,0.03,11.62,0.78,468252129,36.54,7.58,0.98,91.7,24.04,3.61,76.39,7.63,92.26,26.47,0.01,60.38
India,2018,3.32,11708.97,0.79,79.81,0.56,0.33,0.38,2.02,0.76,1479718293,59.63,5.63,0.12,90.93,31.54,6.47,86.83,7.17,65.12,76.91,0.91,72.73
China,2012,3.66,1824.92,0.17,57.57,0.4,0.48,0.25,16.18,0.61,822443106,39.02,5.4,0.4,61.99,33.52,6.25,32.88,3.18,41.52,64.45,0.04,73.42
India,2011,7.29,46536.52,0.04,67.7,0.49,-0.18,0.61,11.11,0.62,559389719,55.33,6.38,0.28,57.51,32.97,6.96,85.62,7.55,60.61,66.37,0.1,94.22
India,2012,6.17,52627.04,0.19,83.81,0.36,0.28,0.99,10.79,0.88,643696900,33.73,5.77,0.13,73.92,47.0,8.78,43.74,7.02,89.23,10.26,0.86,93.47
India,2017,4.27,37235.6,0.77,83.15,0.28,-0.17,0.52,8.52,0.51,1465515266,81.41,8.51,0.84,56.34,22.19,8.12,54.21,6.41,55.84,78.49,0.25,53.24
Germany,2010,5.78,12103.8,0.41,73.93,0.67,0.35,0.43,8.75,0.89,72763757,30.79,4.62,0.7,48.72,49.2,6.37,51.56,6.74,74.21,79.32,0.22,95.99
